WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
2668,Contraindicated combination,配伍禁忌,pèi wǔ jìn jì,null,"Combination of some medicines can reduce the curative effect, produce or enhance toxic or side- effects and/or affect the safety of medicines.
These combinations should be avoided. Specifically, there are eighteen antagonisms and nineteen incompatibilities.",null
2669,Eighteen incompatibilities,十八反,shí bā fǎn,null,"One of the contraindicated combinations of Chinese medicines. These include: Gan Cao (Radix Glycyrrhizae) is antagonistic to Da Ji (Radix Euphorbiae Pekinensis), Yuan Hua (Flos Genkwa), Gan Sui (Radix Euphorbiae Kansui) and Hai Zao (Sargassum); Wu Tou (Radix Aconiti) is antagonistic to Bei Mu (Bulbus Fritillariae), Gua Lou (Fructus Trichosanthis), Ban Xia (Rhizoma Pinelliae), Bai Lian (Radix Ampelopsis) and Bai  Ji (Rhizoma Bletillae); and Li Lu (Radix Veratri Nigri) is antagonistic to Ren Shen (Radix Ginseng), Sha Shen (Radix Salviae Miltiorrhizae), Dan Shen (Radix Adenophorae), Ku Shen (Radix Sophorae Flavescentis), Xuan Shen (Radix Scrophulariae), Xi Xin (Herba Asari) and Shao Yao (Radix Paeoniae).",null
2670,Nineteen incompatibilities,十九畏,shí jiǔ wèi,null,"One of the contraindicated combinations of Chinese medicines. These include: Liu Huang (sulfur) is incompatible with Pu Xiao (crude sodium sulfate), Shui Yin (mercury) with Pi Shuang (arsenic trioxide),Lang Du (Radix Euphorbiae Ebracteolatae) Mi Tuo Seng (litharge), Ba
Dou (Semen Crotonis) with Qian Niu (Semen Pharbitidis), Ding Xiang (Flos Caryophylli) with Yu Jin (Radix Curcumae), Ya Xiao (crystalline sodium sulfate) with San Leng (Rhizoma Sparganii), Chuan Wu (Radix Aconiti) and Cao Wu (Radix Aconiti Kuznezoffi) with Xi Jiao (Cornu Rhinoceri), Ren Shen (Radix Ginseng) with Wu Ling Zhi (with Faeces Trogopterorum), and Guan Gui (Cortex Cinnamomi) with Shi Zhi (Halloysitum Rubrum).",null
2671,Medicine contraindications,证候用药禁忌,zhèng hòu yòng yào jìn jì,null,Medicines that may aggravate medical conditions should be avoided.,病证用药禁忌
2672,Contraindicated medicines during pregnancy,妊娠用药禁忌,rèn shēn yòng yào jìn jì,null,"Medicines that are absolutely contraindicated to use or used with caution during pregnancy. Absolutely contraindicated medicines are toxic, harsh or abortive. Medicines to circulate blood, move qi, and drain downward, and warm,
pungent medicines to warm the interior should be used with caution.",null
2673,Dietary contraindication during medication,服药食忌,fú yào shí jì,null,Food that should be avoided while taking medication.,null
2674,Decoction,汤液,tāng yè,null,A liquid made by decocting prepared pieces of Chinese medicines in water.,null
2675,Decoction method,煎药法,jiān yào fǎ,null,"The decoction of Chinese medicine involves the pot, water, heat control, and decocting method.",null
2676,Heat control in decoction,煎药火候,jiān yào huǒ hòu,null,"This includes the heat intensity and decocting duration. It includes quick (strong) fire and slow (mild) fire. Generally, a quick fire is used to boil and then reduced to mild fire (a simmering heat) to maintain the temperature.",null
2677,Mild fire,文火,wén huǒ,Slow fire,A mild and slow fire to maintain the temperature in decocting Chinese medicine after boiling.,慢火；微火
2678,Strong fire,武火,wǔ huǒ,"Intense fire, quick fire",A strong and quick fire in decocting Chinese medicine.,急火；紧火
2679,Decoct first,先煎,xiān jiān,null,"A method for insoluble minerals, rocks or shells that require a long time to decoct. These
ingredients need to be ground and decocted 30–60 minutes first before placing into the rest of the decoction. Toxic medicines need to decoct first for 60–120 minutes before placing into the rest of the decoction to reduce their toxicity.",null
2680,Decoct separately,另煎,lìng jiān,null,"A method to decoct some medicines separately (2–3 hours), usually precious medicines, to ensure that the ingredients remain active.",另炖
2681,Dissolve in water,冲服,chōng fú,null,A method to pour the medicine directly into water or other boiling liquid. Valuable medicines need to be ground into fine powder first.,null
2682,Taken after being infused in hot water,泡服,pào fú,null,A method to soak medicines in hot water or decoctions for half an hour and then take the medication after removing the dregs.,焗服
2683,Use decoction as water,煎汤代水,jiān tāng dài shuǐ,Use decoction instead of water,"A method to decoct some ingredients separately and then use the decoction instead of water to decoct the rest of the ingredients. This method has two purposes: 1) to prevent the separately decocted ingredients causing the decoction to appear cloudy or muddy; 2) applies to ingredients that are light in weight, big in dosage and volume, and strong in water absorption.",null
2684,Exterior-releasing medicines,解表药,jiě biǎo yào,null,"Medicines to release the exterior. They are indicated for exterior pattern. Based on the property and actions, these medicines are further categorized into two types: medicines to remove wind and dissipate cold and medicines to remove wind and clear heat.",null
2685,Pungent warm exterior- releasing medicines,辛温解表药,xīn wēn jiě biǎo yào,Wind-cold dissipating medicines,"Medicines that are pungent in flavour and warm in property. They mainly act to remove wind and dissipate cold and are indicated for wind cold exterior pattern. Some medicines can also remove wind, alleviate itching, relieve pain, stop coughing, promote urination to resolve oedema, and heal sores/ulcers. These medicines can be used for wind cold-induced itchy rashes, cough, oedema, sores/ulcers, and bi-impediment due to wind and dampness.",发散风寒药
2686,Pungent cool exterior- releasing medicines,辛凉解表药,xīn liáng jiě biǎo yào,Wind-heat dissipating medicines,"Medicines that are pungent in flavour and cool  in property. They mainly act to remove wind and clear heat and are indicated for wind heat exterior pattern. Some medicines can also clear the head/ eyes, benefit the throat, promote skin eruption and stop coughing. These medicines can be used for wind heat-induced red, swollen and painful eyes, red, swollen throat, inhibited skin eruption, and cough due to wind heat.",发散风热药
2687,Interior heat-clearing medicines,清热药,qīng rè yào,null,"Medicines to clear interior heat. They are indicated for interior heat pattern. Based on the property and actions, these medicines are further categorized into five types: medicines to clear heat/fire, medicines to clear heat and dry dampness, medicines to clear heat and cool blood, and medicines to clear deficiency heat.",null
2688,Heat-clearing and fire- draining medicines,清热泻火药,qīng rè xiè huǒ yào,null,"Medicines that are bitter or sweet in flavour and cold in nature. They are mainly indicated for excess heat in the qi phase and fire heat in the zang–fu organs, including lung heat, stomach fire, heart fire or liver fire.",null
2689,Heat-clearing and dampness-drying medicines,清热燥🗎药,qīng rè zào shī yào,null,Medicines that are bitter in flavour and cold  in property. They mainly act to clear heat and dry dampness and are indicated for damp heat pattern.,null
2690,Heat-clearing and blood-cooling medicines,清热凉血药,qīng rè liáng xuè yào,null,"Medicines that are sweet, bitter or salty in flavour and cold in property. They are mainly indicated for excess heat in the Ying nutrients and blood phases. Some medicines can also nourish yin and engender fluids. These medicines can be used for yin deficiency causing damage to fluids.",null
2691,Heat-clearing and toxin- removing medicines,清热解毒药,qīng rè jiě dú yào,null,"Medicines that are bitter in flavour and cold in property. They mainly act to clear heat and remove toxins and are therefore indicated for
conditions due to toxic heat. Some medicines can also be used for snake bite or cancer.",null
2692,Deficiency heat-clearing medicines,清虚热药,qīng xū rè yào,null,Medicine that are cold/cool in property. They mainly act to clear deficiency heat and alleviate bone-steaming sensation. They are indicated for internal heat due to yin deficiency.,null
2693,Purgative medicines,泻下药,xiè xià yào,null,"Medicines to produce bowel movements. They are indicated for constipation or difficulty passing of stools. Based on the property and actions, these medicines are further categorized into three types: draining purgative medicines, moistening purgative medicines and drastic purgative medicines.",null
2694,Draining purgative medicines,攻下药,gōng xià yào,Attacking purgative medicines,Medicines that are bitter in flavour and cold in property. They have strong effect in promoting bowel movements and clearing fire/heat. These medicines are indicated for constipation due to excess heat and retention of dry faeces.,null
2695,Moistening purgative medicines,润下药,rùn xià yào,null,"Medicines that are sweet in flavour and oily in quality. They mainly act to moisten the intestine, soften faeces and promote bowel
movements. They are indicated for constipation due to exhaustion of fluids, yin deficiency or blood deficiency resulting from ageing, a weak constitution, chronic disease and childbirth.",null
2696,Drastic water-expelling medicines,峻下逐水药,jùn xià zhú shuǐ yào,null,"Medicines that are bitter in flavour and cold in property. These medicines often have a drastic effect and can cause severe diarrhoea and relieve retained water. They are indicated for oedema, pleural effusion, ascites, or panting due to phlegm- fluid retention.",null
2697,Wind-eliminating and dampness-resolving medicines,祛风🗎药,qū fēng shī yào,null,"Medicines to eliminate wind, resolve dampness and alleviate pain. They are indicated for
bi-impediment patterns. Based on the
bi-impediment category and medicinal property, these medicines are further categorized into three types: medicines to remove wind and resolve dampness; medicines to remove wind, clear heat and resolve dampness; and medicines to remove wind, resolve dampness and strengthen tendons and bones.",null
